# Strain Tracker Export
# generated: 2026-05-21T13:10:11.861Z
# fps: 120
# video_size_px: 1280x720
# calibration: 9.629723 px per mm
# calibration_points_px: (311.780,304.734) - (985.835,298.862)
# calibration_real_distance: 70 mm
# template_size_px: 40
# search_radius_px: 25
#
frame,time_s,x_px,y_px,x_mm,y_mm,dx_mm,dy_mm,match_score
166,1.383333,356.8443,343.6486,37.056545,35.686238,0.087673,-0.867254,0.9788
167,1.391667,356.8443,343.6486,37.056545,35.686238,0.087673,-0.867254,0.9788
168,1.400000,356.9292,344.9296,37.065369,35.819266,0.096497,-0.734225,0.9771
169,1.408333,356.9292,344.9296,37.065369,35.819266,0.096497,-0.734225,0.9771
170,1.416667,356.9292,344.9296,37.065369,35.819266,0.096497,-0.734225,0.9771
171,1.425000,356.9292,344.9296,37.065369,35.819266,0.096497,-0.734225,0.9771
172,1.433333,356.9657,344.3733,37.069159,35.761497,0.100288,-0.791995,0.9752
173,1.441667,356.9657,344.3733,37.069159,35.761497,0.100288,-0.791995,0.9752
174,1.450000,356.9657,344.3733,37.069159,35.761497,0.100288,-0.791995,0.9752
175,1.458333,356.9657,344.3733,37.069159,35.761497,0.100288,-0.791995,0.9752
176,1.466667,357.0506,345.0667,37.077968,35.833503,0.109096,-0.719988,0.9743
177,1.475000,357.0506,345.0667,37.077968,35.833503,0.109096,-0.719988,0.9743
178,1.483333,357.0506,345.0667,37.077968,35.833503,0.109096,-0.719988,0.9743
179,1.491667,357.0506,345.0667,37.077968,35.833503,0.109096,-0.719988,0.9743
180,1.500000,357.1507,345.5792,37.088363,35.886727,0.119491,-0.666764,0.9732
181,1.508333,357.1507,345.5792,37.088363,35.886727,0.119491,-0.666764,0.9732
182,1.516667,357.1507,345.5792,37.088363,35.886727,0.119491,-0.666764,0.9732
183,1.525000,357.1507,345.5792,37.088363,35.886727,0.119491,-0.666764,0.9732
184,1.533333,357.1030,345.7399,37.083410,35.903415,0.114538,-0.650076,0.9763
185,1.541667,357.1030,345.7399,37.083410,35.903415,0.114538,-0.650076,0.9763
186,1.550000,357.1030,345.7399,37.083410,35.903415,0.114538,-0.650076,0.9763
187,1.558333,357.1030,345.7399,37.083410,35.903415,0.114538,-0.650076,0.9763
188,1.566667,357.0210,346.0124,37.074897,35.931706,0.106025,-0.621785,0.9798
189,1.575000,357.0210,346.0124,37.074897,35.931706,0.106025,-0.621785,0.9798
190,1.583333,357.0210,346.0124,37.074897,35.931706,0.106025,-0.621785,0.9798
191,1.591667,357.0210,346.0124,37.074897,35.931706,0.106025,-0.621785,0.9798
