# Strain Tracker Export
# generated: 2026-05-22T10:14:36.142Z
# fps: 120
# video_size_px: 1280x720
# calibration: 9.401099 px per mm
# calibration_points_px: (244.844,593.615) - (338.789,590.092)
# calibration_real_distance: 10 mm
# template_size_px: 40
# search_radius_px: 25
#
frame,time_s,x_px,y_px,x_mm,y_mm,dx_mm,dy_mm,match_score
228,1.900000,868.2092,589.4055,92.351885,62.695386,-4.658054,-0.275978,0.9944
229,1.908333,868.2092,589.4055,92.351885,62.695386,-4.658054,-0.275978,0.9944
230,1.916667,868.2092,589.4055,92.351885,62.695386,-4.658054,-0.275978,0.9944
231,1.925000,868.2092,589.4055,92.351885,62.695386,-4.658054,-0.275978,0.9944
232,1.933333,867.0726,589.2381,92.230989,62.677578,-4.778950,-0.293786,0.9958
233,1.941667,867.0726,589.2381,92.230989,62.677578,-4.778950,-0.293786,0.9958
234,1.950000,867.0726,589.2381,92.230989,62.677578,-4.778950,-0.293786,0.9958
235,1.958333,867.0726,589.2381,92.230989,62.677578,-4.778950,-0.293786,0.9958
236,1.966667,865.7024,589.2128,92.085238,62.674888,-4.924701,-0.296476,0.9959
237,1.975000,865.7024,589.2128,92.085238,62.674888,-4.924701,-0.296476,0.9959
238,1.983333,865.7024,589.2128,92.085238,62.674888,-4.924701,-0.296476,0.9959
239,1.991667,865.7024,589.2128,92.085238,62.674888,-4.924701,-0.296476,0.9959
240,2.000000,864.7684,589.1236,91.985891,62.665399,-5.024048,-0.305965,0.9962
241,2.008333,864.7684,589.1236,91.985891,62.665399,-5.024048,-0.305965,0.9962
242,2.016667,864.7684,589.1236,91.985891,62.665399,-5.024048,-0.305965,0.9962
243,2.025000,864.7684,589.1236,91.985891,62.665399,-5.024048,-0.305965,0.9962
244,2.033333,863.9859,589.1323,91.902656,62.666320,-5.107282,-0.305044,0.9965
245,2.041667,863.9859,589.1323,91.902656,62.666320,-5.107282,-0.305044,0.9965
246,2.050000,863.9859,589.1323,91.902656,62.666320,-5.107282,-0.305044,0.9965
247,2.058333,863.9859,589.1323,91.902656,62.666320,-5.107282,-0.305044,0.9965
248,2.066667,863.4808,589.0951,91.848928,62.662363,-5.161011,-0.309001,0.9953
249,2.075000,863.4808,589.0951,91.848928,62.662363,-5.161011,-0.309001,0.9953
250,2.083333,863.4808,589.0951,91.848928,62.662363,-5.161011,-0.309001,0.9953
251,2.091667,863.4808,589.0951,91.848928,62.662363,-5.161011,-0.309001,0.9953
252,2.100000,863.1958,589.1331,91.818614,62.666412,-5.191325,-0.304952,0.9961
253,2.108333,863.1958,589.1331,91.818614,62.666412,-5.191325,-0.304952,0.9961
254,2.116667,863.1958,589.1331,91.818614,62.666412,-5.191325,-0.304952,0.9961
255,2.125000,863.1958,589.1331,91.818614,62.666412,-5.191325,-0.304952,0.9961
256,2.133333,862.2776,589.0865,91.720936,62.661455,-5.289003,-0.309909,0.9961
257,2.141667,862.2776,589.0865,91.720936,62.661455,-5.289003,-0.309909,0.9961
258,2.150000,862.2776,589.0865,91.720936,62.661455,-5.289003,-0.309909,0.9961
259,2.158333,862.2776,589.0865,91.720936,62.661455,-5.289003,-0.309909,0.9961
260,2.166667,861.2001,589.0289,91.606328,62.655330,-5.403611,-0.316034,0.9962
261,2.175000,861.2001,589.0289,91.606328,62.655330,-5.403611,-0.316034,0.9962
262,2.183333,861.2001,589.0289,91.606328,62.655330,-5.403611,-0.316034,0.9962
263,2.191667,861.2001,589.0289,91.606328,62.655330,-5.403611,-0.316034,0.9962
264,2.200000,860.3508,588.9441,91.515983,62.646310,-5.493955,-0.325053,0.9959
265,2.208333,860.3508,588.9441,91.515983,62.646310,-5.493955,-0.325053,0.9959
266,2.216667,860.3508,588.9441,91.515983,62.646310,-5.493955,-0.325053,0.9959
267,2.225000,860.3508,588.9441,91.515983,62.646310,-5.493955,-0.325053,0.9959
268,2.233333,859.0110,588.7018,91.373472,62.620538,-5.636467,-0.350826,0.9957
269,2.241667,859.0110,588.7018,91.373472,62.620538,-5.636467,-0.350826,0.9957
270,2.250000,859.0110,588.7018,91.373472,62.620538,-5.636467,-0.350826,0.9957
271,2.258333,859.0110,588.7018,91.373472,62.620538,-5.636467,-0.350826,0.9957
272,2.266667,858.4960,588.6960,91.318688,62.619911,-5.691251,-0.351453,0.9943
273,2.275000,858.4960,588.6960,91.318688,62.619911,-5.691251,-0.351453,0.9943
274,2.283333,858.4960,588.6960,91.318688,62.619911,-5.691251,-0.351453,0.9943
275,2.291667,858.4960,588.6960,91.318688,62.619911,-5.691251,-0.351453,0.9943
276,2.300000,857.7993,588.4970,91.244580,62.598748,-5.765359,-0.372616,0.9940
277,2.308333,857.7993,588.4970,91.244580,62.598748,-5.765359,-0.372616,0.9940
278,2.316667,857.7993,588.4970,91.244580,62.598748,-5.765359,-0.372616,0.9940
279,2.325000,857.7993,588.4970,91.244580,62.598748,-5.765359,-0.372616,0.9940
280,2.333333,856.8010,588.4084,91.138389,62.589322,-5.871550,-0.382042,0.9958
281,2.341667,856.8010,588.4084,91.138389,62.589322,-5.871550,-0.382042,0.9958
282,2.350000,856.8010,588.4084,91.138389,62.589322,-5.871550,-0.382042,0.9958
283,2.358333,856.8010,588.4084,91.138389,62.589322,-5.871550,-0.382042,0.9958
284,2.366667,855.8274,588.4116,91.034832,62.589660,-5.975107,-0.381704,0.9951
285,2.375000,855.8274,588.4116,91.034832,62.589660,-5.975107,-0.381704,0.9951
286,2.383333,855.8274,588.4116,91.034832,62.589660,-5.975107,-0.381704,0.9951
287,2.391667,855.8274,588.4116,91.034832,62.589660,-5.975107,-0.381704,0.9951
288,2.400000,854.9123,588.1363,90.937490,62.560379,-6.072449,-0.410985,0.9968
289,2.408333,854.9123,588.1363,90.937490,62.560379,-6.072449,-0.410985,0.9968
290,2.416667,854.9123,588.1363,90.937490,62.560379,-6.072449,-0.410985,0.9968
291,2.425000,854.9123,588.1363,90.937490,62.560379,-6.072449,-0.410985,0.9968
292,2.433333,853.9260,588.0649,90.832577,62.552781,-6.177362,-0.418583,0.9963
293,2.441667,853.9260,588.0649,90.832577,62.552781,-6.177362,-0.418583,0.9963
294,2.450000,853.9260,588.0649,90.832577,62.552781,-6.177362,-0.418583,0.9963
295,2.458333,853.9260,588.0649,90.832577,62.552781,-6.177362,-0.418583,0.9963
296,2.466667,852.9285,588.0580,90.726472,62.552052,-6.283466,-0.419312,0.9963
297,2.475000,852.9285,588.0580,90.726472,62.552052,-6.283466,-0.419312,0.9963
298,2.483333,852.9285,588.0580,90.726472,62.552052,-6.283466,-0.419312,0.9963
299,2.491667,852.9285,588.0580,90.726472,62.552052,-6.283466,-0.419312,0.9963
300,2.500000,852.2311,587.9310,90.652293,62.538545,-6.357646,-0.432819,0.9954
301,2.508333,852.2311,587.9310,90.652293,62.538545,-6.357646,-0.432819,0.9954
302,2.516667,852.2311,587.9310,90.652293,62.538545,-6.357646,-0.432819,0.9954
303,2.525000,852.2311,587.9310,90.652293,62.538545,-6.357646,-0.432819,0.9954
304,2.533333,851.6075,587.9005,90.585959,62.535295,-6.423980,-0.436069,0.9948
305,2.541667,851.6075,587.9005,90.585959,62.535295,-6.423980,-0.436069,0.9948
306,2.550000,851.6075,587.9005,90.585959,62.535295,-6.423980,-0.436069,0.9948
307,2.558333,851.6075,587.9005,90.585959,62.535295,-6.423980,-0.436069,0.9948
308,2.566667,850.6770,587.8402,90.486974,62.528882,-6.522964,-0.442482,0.9947
309,2.575000,850.6770,587.8402,90.486974,62.528882,-6.522964,-0.442482,0.9947
310,2.583333,850.6770,587.8402,90.486974,62.528882,-6.522964,-0.442482,0.9947
311,2.591667,850.6770,587.8402,90.486974,62.528882,-6.522964,-0.442482,0.9947
312,2.600000,849.3430,587.6434,90.345075,62.507948,-6.664864,-0.463416,0.9931
313,2.608333,849.3430,587.6434,90.345075,62.507948,-6.664864,-0.463416,0.9931
314,2.616667,849.3430,587.6434,90.345075,62.507948,-6.664864,-0.463416,0.9931
315,2.625000,849.3430,587.6434,90.345075,62.507948,-6.664864,-0.463416,0.9931
316,2.633333,848.5369,587.6022,90.259333,62.503569,-6.750606,-0.467795,0.9922
317,2.641667,848.5369,587.6022,90.259333,62.503569,-6.750606,-0.467795,0.9922
318,2.650000,848.5369,587.6022,90.259333,62.503569,-6.750606,-0.467795,0.9922
319,2.658333,848.5369,587.6022,90.259333,62.503569,-6.750606,-0.467795,0.9922
320,2.666667,847.3922,587.5360,90.137569,62.496523,-6.872370,-0.474840,0.9924
321,2.675000,847.3922,587.5360,90.137569,62.496523,-6.872370,-0.474840,0.9924
322,2.683333,847.3922,587.5360,90.137569,62.496523,-6.872370,-0.474840,0.9924
323,2.691667,847.3922,587.5360,90.137569,62.496523,-6.872370,-0.474840,0.9924
324,2.700000,846.0783,587.4128,89.997815,62.483419,-7.012124,-0.487945,0.9936
325,2.708333,846.0783,587.4128,89.997815,62.483419,-7.012124,-0.487945,0.9936
326,2.716667,846.0783,587.4128,89.997815,62.483419,-7.012124,-0.487945,0.9936
327,2.725000,846.0783,587.4128,89.997815,62.483419,-7.012124,-0.487945,0.9936
328,2.733333,844.5582,587.4319,89.836117,62.485453,-7.173822,-0.485911,0.9926
329,2.741667,844.5582,587.4319,89.836117,62.485453,-7.173822,-0.485911,0.9926
330,2.750000,844.5582,587.4319,89.836117,62.485453,-7.173822,-0.485911,0.9926
331,2.758333,844.5582,587.4319,89.836117,62.485453,-7.173822,-0.485911,0.9926
332,2.766667,842.6332,587.4219,89.631354,62.484386,-7.378585,-0.486978,0.9930
333,2.775000,842.6332,587.4219,89.631354,62.484386,-7.378585,-0.486978,0.9930
334,2.783333,842.6332,587.4219,89.631354,62.484386,-7.378585,-0.486978,0.9930
335,2.791667,842.6332,587.4219,89.631354,62.484386,-7.378585,-0.486978,0.9930
